License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
March 29 2005,130651,Ozzy,Dog,Dachshund; Standard Smooth Haired,,98104
December 23 2009,898148,Jack,Dog,Schnauzer; Miniature,Terrier; Rat,98107
January 20 2006,29654,Ginger,Dog,Retriever; Golden,Retriever; Labrador,98117
February 07 2006,75432,Pepper,Cat,Manx,Mix,98103
August 04 2006,729899,Addy,Dog,Retriever; Golden,,98105
July 24 2007,437433,Rustie,Dog,Dachshund; Standard Smooth Haired,,98108
December 06 2006,959078,Lady,Dog,Doberman Pinscher,,98104
November 19 2007,895915,Emily,Cat,Domestic Medium Hair,,98103
December 04 2007,957798,Pancho,Dog,Chihuahua; Short Coat,,
January 31 2008,26600,Sampson,Dog,Shepherd,Siberian Husky,98106
March 20 2008,135598,Buddy,Dog,Retriever; Labrador,Mix,98133
March 25 2008,29617,Hitler,Dog,Terrier; American Pit Bull,,98108
March 31 2008,135493,Oscar,Dog,Dachshund; Miniature Smooth Haired,,98104
April 17 2008,209891,Liame,Dog,Retriever; Labrador,,98126
August 02 2008,352920,Hunter,Cat,Devon Rex,,98125
December 01 2008,957147,Finigan,Dog,Spaniel; Irish Water,,98107
November 12 2008,900555,Emily,Dog,Terrier; Boston,,98107
January 28 2009,25208,Holly,Dog,Retriever; Labrador,,98103
March 28 2008,137471,Romeo,Dog,Terrier; Yorkshire,,98136
July 16 2009,438986,Franklin Tucker,Dog,Pug,,98106
December 22 2009,960651,Shelby,Dog,Retriever; Labrador,Shepherd,98115
January 11 2010,24477,Calvin,Dog,Terrier,Mix,98125
February 19 2010,80391,Zoey,Dog,Chihuahua; Short Coat,Pomeranian,98126
March 18 2010,132643,Nugget,Dog,Retriever; Golden,,98104
June 05 2010,355942,Big Guy,Dog,Chihuahua; Short Coat,,98146
June 15 2010,355953,Akaiya,Dog,Terrier; American Staffordshire,,98036
October 14 2010,728265,Petey,Dog,Terrier; American Pit Bull,Mix,98109
April 22 2010,281115,Kane,Dog,Retriever; Labrador,,98136
December 27 2007,956693,Tyson,Dog,Terrier; American Pit Bull,,98117
March 05 2010,141134,Shelby,Dog,Retriever; Labrador,Mix,98133
February 04 2011,81017,Buttercup,Dog,Retriever; Labrador,,98119
